Product Name,Price
"Redmi 8 (Ruby Red, 64 GB)","₹8,999"
"Redmi 8 (Onyx Black, 64 GB)","₹8,999"
"Redmi 8A (Sunset Red, 32 GB)","₹6,999"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999"
"Redmi 8 (Sapphire Blue, 64 GB)","₹8,999"
"Redmi Note 6 Pro (Red, 64 GB)","₹11,999"
"Redmi 8A (Midnight Black, 32 GB)","₹6,999"
"Redmi 8A (Ocean Blue, 32 GB)","₹6,999"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹10,999"
"Redmi Go (Black, 8 GB)","₹4,499"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999"
"Mi Mix 2 (Black, 128 GB)","₹29,999"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999"
"Redmi Note 7 Pro (Space Black, 128 GB)","₹13,999"
"Redmi 8A (Sunset Red, 32 GB)","₹7,499"
"Redmi Go (Blue, 16 GB)","₹4,999"
"Redmi Note 5 (Black, 64 GB)","₹11,999"
"Redmi Note 8 (Moonlight White, 128 GB)","₹13,390"
"Redmi 8A (Ocean Blue, 32 GB)","₹7,499"
"Redmi Note 7S (Sapphire Blue, 64 GB)","₹11,999"
"Redmi Note 8 (Moonlight White, 64 GB)","₹11,399"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,999"
"Mi A3 (More Than White, 64 GB)","₹12,999"
